Column,New York,Borough,income_num_returns(households),avg income per return(x1000s),income level,DBA,STREET,GRADE DATE
10704,11694,QUEENS,8920,90.59439462,medium income,DUNKIN',BEACH  129 STREET,12/30/2019
10778,11694,QUEENS,8920,90.59439462,medium income,DUNKIN',BEACH  129 STREET,9/26/2019
10812,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',VETERANS ROAD WEST,2/12/2020
10829,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',ROSSVILLE AVENUE,3/5/2020
10864,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',AMBOY ROAD,8/28/2019
10877,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',VETERANS ROAD WEST,3/14/2019
10899,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',VETERANS ROAD WEST,4/9/2019
10930,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',VETERANS ROAD WEST,1/17/2019
10931,10309,STATEN ISLAND,15270,90.03942371,medium income,DUNKIN',ROSSVILLE AVENUE,1/16/2019
11327,10009,MANHATTAN,32690,87.20804527,medium income,DUNKIN',1 AVENUE,12/10/2019
11505,10009,MANHATTAN,32690,87.20804527,medium income,DUNKIN',1 AVENUE,1/11/2019
11634,10009,MANHATTAN,32690,87.20804527,medium income,DUNKIN',1 AVENUE,7/10/2019
12010,11357,QUEENS,20170,86.46698066,medium income,DUNKIN',150 STREET,11/19/2019
12177,11357,QUEENS,20170,86.46698066,medium income,DUNKIN',CLINTONVILLE STREET,5/10/2019
12240,10460,BRONX,25850,30.00978723,low income,DUNKIN',EAST TREMONT AVENUE,10/24/2019
12300,10460,BRONX,25850,30.00978723,low income,DUNKIN',SOUTHERN BOULEVARD,3/29/2019
12318,10460,BRONX,25850,30.00978723,low income,DUNKIN',SOUTHERN BOULEVARD,2/1/2019
12333,10460,BRONX,25850,30.00978723,low income,DUNKIN',SOUTHERN BOULEVARD,7/25/2019
12352,10460,BRONX,25850,30.00978723,low income,DUNKIN',EAST TREMONT AVENUE,4/12/2019
12415,10459,BRONX,21610,29.99648311,low income,DUNKIN',HUNTS POINT AVENUE,1/7/2020
12436,10459,BRONX,21610,29.99648311,low income,DUNKIN',PROSPECT AVENUE,2/21/2020
12475,10459,BRONX,21610,29.99648311,low income,DUNKIN',WESTCHESTER AVENUE,12/17/2019
12503,10459,BRONX,21610,29.99648311,low income,DUNKIN',WESTCHESTER AVENUE,8/28/2019
12525,10459,BRONX,21610,29.99648311,low income,DUNKIN',WESTCHESTER AVENUE,4/4/2019
12536,10459,BRONX,21610,29.99648311,low income,DUNKIN',HUNTS POINT AVENUE,1/18/2019
12548,10459,BRONX,21610,29.99648311,low income,DUNKIN',PROSPECT AVENUE,2/20/2019
12560,10459,BRONX,21610,29.99648311,low income,DUNKIN',PROSPECT AVENUE,9/18/2019
12727,10474,BRONX,5030,29.98807157,low income,DUNKIN',GARRISON AVENUE,4/12/2019
